,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
26,1,270,13,0.89,0.73,9.3,0.67,0.0,0.21,0.3083518487264397,10,0.3843945422458424
27,1,280,30,0.06,0.13,7.2,0.79,0.75,0.22,0.0919410105608686,10,0.3843945422458424
28,1,290,15,0.49,0.6,7.9,0.94,0.8200000000000001,0.26,0.3554863201483169,10,0.3843945422458424
29,1,300,16,0.07,0.89,6.0,0.5,0.32,0.91,0.1858139085093136,10,0.3843945422458424
30,1,310,14,0.96,0.96,9.3,0.13,0.26,0.85,0.1303406735021793,10,0.3843945422458424
31,1,320,24,0.28,0.81,8.6,0.41,0.76,0.31,0.289127424270606,10,0.3843945422458424
32,1,330,20,0.35,0.49,9.7,0.49,0.54,0.76,0.3616529492216906,10,0.3843945422458424
33,1,340,11,0.39,0.8,5.2,0.95,0.71,0.9,0.2827264423836156,10,0.3843945422458424
34,1,350,7,0.21,0.94,6.5,0.8300000000000001,0.33,0.0,0.1404732647583286,10,0.3843945422458424
35,1,360,27,1.0,0.63,6.8,0.21,0.27,0.61,0.3424425404454987,10,0.3843945422458424
36,1,370,13,0.55,0.06,8.3,0.01,0.79,0.99,0.0744285023861129,10,0.3843945422458424
37,1,380,29,0.34,0.54,5.4,0.24,0.33,0.23,0.3837406970724585,10,0.3843945422458424
38,1,390,22,0.75,0.94,9.4,0.97,0.81,0.22,0.183781307267019,10,0.3843945422458424
39,1,400,9,0.85,0.11,5.8,0.1,0.45,0.6,0.0843480496085897,10,0.3843945422458424
40,1,410,21,0.89,0.45,5.7,0.02,0.09,0.02,0.3021831920306323,10,0.3843945422458424
41,1,420,14,0.65,0.61,9.7,0.16,0.01,0.09,0.3707170122834969,10,0.3843945422458424
42,1,430,9,0.34,0.56,8.5,0.3,0.08,0.26,0.3412686767536338,10,0.3843945422458424
43,1,440,22,0.71,0.74,6.6,0.52,0.3,0.86,0.2951305094386993,10,0.3843945422458424
44,1,450,26,0.42,0.7000000000000001,8.7,0.67,0.08,0.19,0.3473913255440084,10,0.3843945422458424
45,1,460,20,0.88,0.19,9.3,0.36,0.6,0.8200000000000001,0.1382588444774596,10,0.3843945422458424
46,1,470,18,0.23,0.87,9.5,0.07,0.65,0.33,0.2398386808739498,10,0.3843945422458424
47,1,480,14,0.61,0.76,7.300000000000001,0.15,0.8200000000000001,0.46,0.3195873365011167,10,0.3843945422458424
48,1,490,18,0.59,0.84,8.9,0.6900000000000001,0.77,0.05,0.2815035464652419,10,0.3843945422458424
49,1,500,9,0.0,0.76,5.1,0.77,0.54,0.68,0.2767272690537742,10,0.3843945422458424
50,1,510,11,0.93,0.76,5.1,0.77,0.54,0.68,0.3262564277401805,10,0.3843945422458424
51,1,520,9,0.19,0.52,9.3,0.8300000000000001,0.64,0.47,0.3569637838705087,10,0.3843945422458424
52,1,530,13,0.89,0.72,9.3,0.67,0.93,0.23,0.3339817602281999,10,0.3843945422458424
53,1,540,14,0.92,0.35,5.7,0.6900000000000001,0.0,0.21,0.2899331044020804,10,0.3843945422458424
54,1,550,15,0.42,0.75,8.7,0.67,0.08,0.19,0.3431449045538509,10,0.3843945422458424
55,1,560,27,0.72,0.55,7.7,0.34,0.05,0.97,0.33468304168197,10,0.3843945422458424
56,1,570,27,0.55,0.4,7.7,0.34,0.05,0.97,0.2852043716755699,10,0.3843945422458424
57,1,580,25,0.34,0.6,8.1,0.6,0.04,0.55,0.3668534589865494,10,0.3843945422458424
58,1,590,27,0.61,0.5700000000000001,8.5,0.3,0.08,0.26,0.4008636208283713,10,0.4008636208283713
59,1,600,27,0.4,0.66,6.2,0.2,0.07,0.26,0.3769671968244829,10,0.4008636208283713
60,1,610,30,0.59,0.4,7.4,0.34,0.05,0.97,0.3074559133780477,10,0.4008636208283713
61,1,620,27,0.45,0.77,7.4,0.09,0.07,0.3,0.3091280123188021,10,0.4008636208283713
62,1,630,24,0.03,0.81,8.6,0.41,0.77,0.24,0.241542869428957,10,0.4008636208283713
63,1,640,13,0.89,0.73,9.3,0.67,0.31,0.21,0.3247846440398117,10,0.4008636208283713
64,1,650,5,0.3,0.27,6.0,0.76,0.9,0.51,0.2084407408124771,10,0.4008636208283713
65,1,660,22,0.4,0.52,7.6,0.47,0.39,0.75,0.328827681569119,10,0.4008636208283713
66,1,670,14,0.66,0.52,9.3,0.84,0.64,0.32,0.3519154137926369,10,0.4008636208283713
67,1,680,11,0.63,0.76,7.300000000000001,0.34,0.85,0.41,0.3045623736139702,10,0.4008636208283713
68,1,690,18,0.23,0.87,9.5,0.07,0.07,0.22,0.206619643839465,10,0.4008636208283713
69,1,700,30,0.37,0.66,6.1,0.2,0.65,0.33,0.3738744082026436,10,0.4008636208283713
70,1,710,22,0.4,0.76,5.1,0.77,0.54,0.68,0.2969953634901606,10,0.4008636208283713
71,1,720,14,0.0,0.52,7.6,0.47,0.9,0.51,0.3604248268168689,10,0.4008636208283713
72,1,730,27,0.94,0.77,7.4,0.64,0.07,0.9,0.3169841730568608,10,0.4008636208283713
73,1,740,22,0.71,0.74,6.6,0.52,0.3,0.52,0.3185884225815211,10,0.4008636208283713
74,1,750,15,0.49,0.6,7.9,0.94,0.9,0.51,0.3617670038843089,10,0.4008636208283713
75,1,760,22,0.4,0.52,7.6,0.47,0.79,0.26,0.3681894836657078,10,0.4008636208283713
76,1,770,8,0.99,0.65,6.1,0.2,0.07,0.26,0.3622340822846462,10,0.4008636208283713
77,1,780,30,0.37,0.3,7.800000000000001,0.68,0.14,0.94,0.2424833883708853,10,0.4008636208283713
78,1,790,18,0.55,0.61,9.8,0.16,0.01,0.09,0.3689708661365481,10,0.4008636208283713
79,1,800,14,0.3,0.87,9.5,0.07,0.65,0.33,0.223514630492626,10,0.4008636208283713
80,1,810,9,0.14,0.71,8.5,0.3,0.08,0.0,0.3384998631841102,10,0.4008636208283713
81,1,820,18,0.59,0.85,8.9,0.6900000000000001,0.77,0.79,0.2498511991882959,10,0.4008636208283713
82,1,830,9,0.37,0.56,8.5,0.3,0.08,0.26,0.3987582192122719,10,0.4008636208283713
83,1,840,18,0.31,0.95,9.3,0.13,0.26,0.42,0.1526401245165795,10,0.4008636208283713
84,1,850,18,0.59,0.84,8.9,0.6900000000000001,0.8200000000000001,0.05,0.2520185889246608,10,0.4008636208283713
