,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
172,2,330,14,0.71,0.27,8.4,0.53,0.01,0.43,0.2527917037408212,10,0.3927305529306575
173,2,340,9,0.55,0.66,7.4,0.76,0.18,0.84,0.415301518701944,10,0.415301518701944
174,2,350,6,0.68,0.11,5.4,0.65,0.7000000000000001,0.81,0.1387481696228485,10,0.415301518701944
175,2,360,26,0.01,0.8300000000000001,6.8,0.1,0.84,0.41,0.2771234918776705,10,0.415301518701944
176,2,370,5,0.11,0.42,8.1,0.11,0.3,0.19,0.3356218589911311,10,0.415301518701944
177,2,380,9,0.64,0.9,5.8,0.34,0.6,0.89,0.2367266006004156,10,0.415301518701944
178,2,390,8,0.18,0.9,7.2,0.11,0.49,0.99,0.2051160877241699,10,0.415301518701944
179,2,400,20,0.58,0.46,5.4,0.29,0.09,0.73,0.384956150084215,10,0.415301518701944
180,2,410,9,0.16,0.71,10.0,0.08,0.1,0.01,0.3992262905767472,10,0.415301518701944
181,2,420,30,0.0,0.18,9.7,0.59,0.65,0.6900000000000001,0.158865458791292,10,0.415301518701944
182,2,430,13,0.44,0.94,9.7,0.14,0.92,0.54,0.2182644723709158,10,0.415301518701944
183,2,440,26,0.67,0.6,6.8,0.86,0.09,0.79,0.3992473300011984,10,0.415301518701944
184,2,450,21,0.35,0.7000000000000001,7.5,0.63,0.04,0.95,0.4185607524881304,10,0.4185607524881304
185,2,460,9,0.98,0.48,8.3,0.4,0.76,0.93,0.3925032915815311,10,0.4185607524881304
186,2,470,24,0.73,0.27,7.2,0.9,0.04,0.68,0.246198131279492,10,0.4185607524881304
187,2,480,19,0.19,0.4,8.8,0.28,0.5,0.1,0.3125988873610605,10,0.4185607524881304
188,2,490,18,0.01,0.61,5.0,0.56,0.67,0.28,0.3695008557396321,10,0.4185607524881304
189,2,500,22,0.58,0.54,6.4,0.96,0.52,0.59,0.4474312891390007,10,0.4474312891390007
190,2,510,20,0.58,0.17,5.4,0.29,0.53,0.32,0.1616450938746087,10,0.4474312891390007
191,2,520,5,0.35,0.41,9.3,0.19,0.09,0.73,0.3755010710098347,10,0.4474312891390007
192,2,530,26,0.8,0.45,7.0,0.37,0.04,0.97,0.3753192477611321,10,0.4474312891390007
193,2,540,20,0.35,0.7000000000000001,7.5,0.0,0.54,0.17,0.3745564651553366,10,0.4474312891390007
194,2,550,17,0.02,0.86,6.8,0.1,0.84,0.41,0.2656959466887857,10,0.4474312891390007
195,2,560,26,0.01,0.8300000000000001,5.0,0.65,0.66,0.41,0.2494212170668562,10,0.4474312891390007
196,2,570,12,0.32,0.4,9.3,0.19,0.21,0.84,0.3329350840570686,10,0.4474312891390007
197,2,580,9,0.55,0.66,7.4,0.76,0.13,0.32,0.3869400266340358,10,0.4474312891390007
198,2,590,12,0.32,0.41,9.3,0.19,0.53,0.75,0.354865471676902,10,0.4474312891390007
199,2,600,27,0.64,0.76,7.0,0.1,0.08,0.32,0.3565511115959291,10,0.4474312891390007
200,2,610,21,0.35,0.38,9.5,0.18,0.37,0.5700000000000001,0.3462231627020854,10,0.4474312891390007
201,2,620,22,0.42,0.6900000000000001,8.0,0.63,0.04,0.95,0.4231379667790252,10,0.4474312891390007
202,2,630,22,0.14,0.14,5.1,0.65,0.66,0.26,0.1460931846584642,10,0.4474312891390007
203,2,640,20,0.02,0.86,7.300000000000001,0.72,0.59,0.97,0.271782575409861,10,0.4474312891390007
204,2,650,14,0.55,0.93,7.4,0.76,0.29,0.79,0.2313741462951125,10,0.4474312891390007
205,2,660,26,0.01,0.8300000000000001,6.8,0.1,0.84,0.91,0.2878959128488097,10,0.4474312891390007
206,2,670,9,0.98,0.48,8.0,0.63,0.04,0.96,0.3510535632001786,10,0.4474312891390007
207,2,680,21,0.35,0.7000000000000001,8.8,0.23,0.76,0.93,0.3816739155896892,10,0.4474312891390007
208,2,690,12,0.32,0.41,6.4,0.95,0.52,0.59,0.348334703464329,10,0.4474312891390007
209,2,700,22,0.59,0.54,8.9,0.19,0.1,0.32,0.3976831244451834,10,0.4474312891390007
210,2,710,9,0.55,0.66,7.4,0.76,0.49,0.52,0.4002643043353192,10,0.4474312891390007
211,2,720,19,0.0,0.68,9.3,0.8300000000000001,0.23,0.84,0.3884548414562978,10,0.4474312891390007
212,2,730,27,0.63,0.71,9.3,0.8300000000000001,0.67,0.52,0.3888674647957492,10,0.4474312891390007
213,2,740,19,0.97,0.8300000000000001,7.0,0.1,0.55,0.52,0.3075835719559839,10,0.4474312891390007
214,2,750,18,0.46,0.3,9.6,0.85,0.16,0.99,0.2428966115931617,10,0.4474312891390007
215,2,760,8,0.02,0.84,5.9,0.08,0.46,0.43,0.2908661037021954,10,0.4474312891390007
216,2,770,9,0.98,0.48,8.3,0.4,0.76,0.34,0.3904753328696544,10,0.4474312891390007
217,2,780,12,0.32,0.41,9.3,0.19,0.1,0.95,0.3490286260662313,10,0.4474312891390007
218,2,790,9,0.47,0.72,10.0,0.67,0.13,0.65,0.3969742385140953,10,0.4474312891390007
219,2,800,12,0.98,0.48,8.3,0.4,0.76,0.29,0.3574894275727882,10,0.4474312891390007
220,2,810,9,0.55,0.66,7.4,0.76,0.3,0.26,0.4271145433765526,10,0.4474312891390007
221,2,820,29,0.93,0.48,9.2,0.41,0.11,0.8300000000000001,0.3665678538009583,10,0.4474312891390007
222,2,830,22,0.75,0.71,9.3,0.8300000000000001,0.67,0.43,0.3804140004400965,10,0.4474312891390007
223,2,840,19,0.0,0.9,9.1,0.68,0.7000000000000001,0.01,0.2394304353828391,10,0.4474312891390007
224,2,850,30,0.86,0.24,5.8,0.8200000000000001,0.07,0.58,0.2386479539686771,10,0.4474312891390007
225,2,860,16,0.64,0.9,5.8,0.15,0.6,0.89,0.251460959263894,10,0.4474312891390007
226,2,870,21,0.6,0.7000000000000001,7.5,0.63,0.75,0.95,0.373490161618151,10,0.4474312891390007
227,2,880,9,0.55,0.66,7.4,0.52,0.18,0.84,0.3728959154495329,10,0.4474312891390007
228,2,890,19,0.2,0.87,8.3,0.28,0.5,0.1,0.2686268780810534,10,0.4474312891390007
229,2,900,9,0.16,0.68,10.0,0.08,0.1,0.01,0.4231474932698932,10,0.4474312891390007
230,2,910,19,0.0,0.71,7.4,0.8300000000000001,0.08,0.55,0.3805013686178868,10,0.4474312891390007
231,2,920,29,0.86,0.5700000000000001,5.8,0.8200000000000001,0.24,0.58,0.3993187207384743,10,0.4474312891390007
232,2,930,27,0.64,0.76,9.3,0.1,0.55,0.52,0.3729208983071353,10,0.4474312891390007
233,2,940,9,0.98,0.48,8.3,0.23,0.76,0.98,0.387019766950925,10,0.4474312891390007
234,2,950,29,0.0,0.18,9.7,0.59,0.65,0.6900000000000001,0.1675335114809036,10,0.4474312891390007
235,2,960,30,0.0,0.18,9.7,0.37,0.65,0.6900000000000001,0.1693876884283833,10,0.4474312891390007
236,2,970,14,0.71,0.27,9.5,0.53,0.01,0.43,0.2794953853027836,10,0.4474312891390007
237,2,980,13,0.44,0.94,5.0,0.14,0.92,0.54,0.2101697016682356,10,0.4474312891390007
238,2,990,12,0.32,0.4,9.3,0.19,0.1,0.65,0.3304859104929821,10,0.4474312891390007
239,2,1000,12,0.47,0.71,9.4,0.67,0.21,0.8300000000000001,0.3987501107239753,10,0.4474312891390007
240,2,1010,22,0.85,0.6900000000000001,8.0,0.48,0.04,0.8300000000000001,0.3938798655759081,10,0.4474312891390007
241,2,1020,29,0.93,0.49,9.2,0.41,0.11,0.95,0.3797682848718914,10,0.4474312891390007
242,2,1030,27,0.63,0.66,7.4,0.76,0.26,0.52,0.3648968195942255,10,0.4474312891390007
243,2,1040,9,0.55,0.71,9.3,0.26,0.67,0.52,0.4024824852498557,10,0.4474312891390007
244,2,1050,13,0.9,0.51,5.0,0.94,0.55,0.8,0.418680963060535,10,0.4474312891390007
245,2,1060,18,0.32,0.71,9.3,0.8300000000000001,0.67,0.11,0.390435782225373,10,0.4474312891390007
246,2,1070,9,0.55,0.49,9.2,0.41,0.67,0.8300000000000001,0.3484011202780009,10,0.4474312891390007
247,2,1080,29,0.93,0.67,8.8,0.76,0.3,0.26,0.4115088292551285,10,0.4474312891390007
248,2,1090,5,0.35,0.41,9.3,0.08,0.84,0.91,0.3477461511613305,10,0.4474312891390007
249,2,1100,26,0.01,0.8300000000000001,6.8,0.18,0.1,0.73,0.2899174633518698,10,0.4474312891390007
